# x,y,index,family
# # Moire fringe polylines traced from H-MoSe2/WSe2 STM topograph.
# # Family 1 = I fringes, Family 2 = J fringes.
# # Source: Halbertal et al., ACS Nano 16, 1471 (2022), Fig. 1.
-133.268482,39.396887,8,2
-83.657588,62.743191,8,2
-30.155642,88.035019,8,2
35.019455,120.136187,8,2
101.167315,148.346304,8,2
138.132296,159.046693,8,2
174.124514,173.638132,8,2
198.443580,184.338521,8,2
227.626459,199.902724,8,2
248.054475,211.575875,8,2
-250.000000,-20.914397,7,2
-212.062257,-7.295720,7,2
-142.023346,23.832685,7,2
-72.957198,54.961089,7,2
-6.809339,86.089494,7,2
34.046693,106.517510,7,2
83.657588,126.945525,7,2
118.677043,140.564202,7,2
138.132296,146.400778,7,2
175.097276,160.019455,7,2
196.498054,170.719844,7,2
217.898833,178.501946,7,2
250.000000,196.011673,7,2
-250.000000,-56.906615,4,2
-209.143969,-40.369650,4,2
-166.342412,-22.859922,4,2
-117.704280,-4.377432,4,2
-50.583658,26.750973,4,2
16.536965,57.879377,4,2
68.093385,80.252918,4,2
102.140078,96.789883,4,2
116.731518,101.653696,4,2
147.859922,111.381323,4,2
170.233463,118.190661,4,2
210.116732,134.727626,4,2
250.000000,150.291829,4,2
-249.027237,-77.334630,2,2
-219.844358,-67.607004,2,2
-160.505837,-45.233463,2,2
-116.731518,-25.778210,2,2
-79.766537,-11.186770,2,2
-18.482490,17.996109,2,2
32.101167,38.424125,2,2
78.793774,58.852140,2,2
116.731518,74.416342,2,2
151.750973,85.116732,2,2
187.743191,99.708171,2,2
247.081712,120.136187,2,2
-250.972763,-113.326848,-1,2
-223.735409,-104.571984,-1,2
-144.941634,-73.443580,-1,2
-92.412451,-51.070039,-1,2
-28.210117,-23.832685,-1,2
26.264591,-5.350195,-1,2
68.093385,17.996109,-1,2
104.085603,29.669261,-1,2
136.186770,41.342412,-1,2
164.396887,54.961089,-1,2
198.443580,64.688716,-1,2
218.871595,71.498054,-1,2
238.326848,80.252918,-1,2
249.027237,84.143969,-1,2
-250.972763,-137.645914,-3,2
-220.817121,-126.945525,-3,2
-185.797665,-113.326848,-3,2
-140.077821,-94.844358,-3,2
-79.766537,-71.498054,-3,2
-21.400778,-47.178988,-3,2
33.073930,-20.914397,-3,2
120.622568,12.159533,-3,2
133.268482,15.077821,-3,2
165.369650,28.696498,-3,2
214.007782,46.206226,-3,2
235.408560,55.933852,-3,2
249.027237,62.743191,-3,2
-250.972763,-180.447471,-7,2
-219.844358,-169.747082,-7,2
-178.988327,-154.182879,-7,2
-140.077821,-140.564202,-7,2
-90.466926,-122.081712,-7,2
-43.774319,-105.544747,-7,2
6.809339,-82.198444,-7,2
54.474708,-63.715953,-7,2
119.649805,-37.451362,-7,2
164.396887,-20.914397,-7,2
209.143969,-5.350195,-7,2
227.626459,3.404669,-7,2
250.000000,9.241245,-7,2
-249.027237,-204.766537,-9,2
-219.844358,-193.093385,-9,2
-180.933852,-177.529183,-9,2
-127.431907,-158.073930,-9,2
-90.466926,-145.428016,-9,2
-53.501946,-130.836576,-9,2
-19.455253,-117.217899,-9,2
